Year,Measure,measureSubcategory,Demographic,DemographicBreakdown,OrganisationBreakdown,Datasource,OrgID,OrgName,MHSDS_Count,Total_Count,CrudeRate
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QUE,CAMBRIDGESHIRE AND PETERBOROUGH STP,110,110,65.6
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QUE,CAMBRIDGESHIRE AND PETERBOROUGH STP,130,130,79.9
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QUE,CAMBRIDGESHIRE AND PETERBOROUGH STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QYG,CHESHIRE AND MERSEYSIDE STP,20,20,4.4
2021/22,All detentions,All,Age,16 to 17,All submissions,MHSDS,All prov,All providers,599,599,48.3
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QYG,CHESHIRE AND MERSEYSIDE STP,25,25,48.3
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QYG,CHESHIRE AND MERSEYSIDE STP,720,720,135.7
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QYG,CHESHIRE AND MERSEYSIDE STP,610,610,134.2
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QYG,CHESHIRE AND MERSEYSIDE STP,490,490,96.9
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QYG,CHESHIRE AND MERSEYSIDE STP,480,480,96.3
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QYG,CHESHIRE AND MERSEYSIDE STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),10,10,10.3
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),15,15,129.5
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),85,85,86.5
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),100,100,102.3
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),80,80,64.6
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),85,85,59.4
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QWU,COVENTRY AND WARWICKSHIRE STP,*,*,NULL
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QWU,COVENTRY AND WARWICKSHIRE STP,5,5,25.4
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QWU,COVENTRY AND WARWICKSHIRE STP,240,240,100.5
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QWU,COVENTRY AND WARWICKSHIRE STP,160,160,92.4
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QWU,COVENTRY AND WARWICKSHIRE STP,160,160,94.4
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QWU,COVENTRY AND WARWICKSHIRE STP,140,140,82.1
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QWU,COVENTRY AND WARWICKSHIRE STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QHM,CUMBRIA AND NORTH EAST STP,20,20,3.8
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QHM,CUMBRIA AND NORTH EAST STP,50,50,81.7
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QHM,CUMBRIA AND NORTH EAST STP,905,905,140.5
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QHM,CUMBRIA AND NORTH EAST STP,700,700,132.4
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QHM,CUMBRIA AND NORTH EAST STP,580,580,94.1
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QHM,CUMBRIA AND NORTH EAST STP,755,755,124.2
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QHM,CUMBRIA AND NORTH EAST STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QJK,DEVON STP,*,*,NULL
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QJK,DEVON STP,10,10,42.3
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QJK,DEVON STP,290,290,123.1
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QJK,DEVON STP,225,225,111.7
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QJK,DEVON STP,205,205,82.3
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QJK,DEVON STP,195,195,67.4
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QJK,DEVON STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QVV,DORSET STP,*,*,NULL
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QVV,DORSET STP,*,*,NULL
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QVV,DORSET STP,10,10,7.2
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QVV,DORSET STP,5,5,3.7
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QVV,DORSET STP,5,5,3.1
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QVV,DORSET STP,*,*,NULL
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QVV,DORSET STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),15,15,3.4
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),35,35,76.9
2021/22,All detentions,All,Age,18 to 34,All submissions,MHSDS,All prov,All providers,17746,17746,144.2
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),1285,1285,223.9
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),865,865,188.4
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),525,525,178.2
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),260,260,125.9
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QNQ,FRIMLEY HEALTH & CARE (STP),*,*,NULL
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QNQ,FRIMLEY HEALTH & CARE (STP),10,10,55.6
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QNQ,FRIMLEY HEALTH & CARE (STP),150,150,104.6
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QNQ,FRIMLEY HEALTH & CARE (STP),95,95,57.9
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QNQ,FRIMLEY HEALTH & CARE (STP),75,75,53.5
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QNQ,FRIMLEY HEALTH & CARE (STP),75,75,62.2
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QNQ,FRIMLEY HEALTH & CARE (STP),*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QR1,GLOUCESTERSHIRE STP,*,*,NULL
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QR1,GLOUCESTERSHIRE STP,*,*,NULL
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QR1,GLOUCESTERSHIRE STP,135,135,113.8
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QR1,GLOUCESTERSHIRE STP,90,90,75.8
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QR1,GLOUCESTERSHIRE STP,125,125,93.7
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QR1,GLOUCESTERSHIRE STP,95,95,69.1
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QR1,GLOUCESTERSHIRE STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,20,20,3.4
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,55,55,86.6
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,1260,1260,181.4
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,875,875,158.6
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,665,665,129.4
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,530,530,115.7
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,5,5,1.5
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,10,10,26.6
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,410,410,105.1
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,345,345,104.3
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,245,245,68.1
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,270,270,71.7
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,*,*,NULL
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,*,*,NULL
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,130,130,90.9
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,95,95,66.9
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,105,105,63.6
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,135,135,73.5
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QM7,HERTFORDSHIRE AND WEST ESSEX STP,20,20,6.6
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QM7,HERTFORDSHIRE AND WEST ESSEX STP,15,15,44.6
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QM7,HERTFORDSHIRE AND WEST ESSEX STP,395,395,136.7
2021/22,All detentions,All,Age,35 to 49,All submissions,MHSDS,All prov,All providers,13022,13022,120
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QM7,HERTFORDSHIRE AND WEST ESSEX STP,230,230,74.3
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QM7,HERTFORDSHIRE AND WEST ESSEX STP,215,215,75.2
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QM7,HERTFORDSHIRE AND WEST ESSEX STP,225,225,87.3
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QM7,HERTFORDSHIRE AND WEST ESSEX STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QOQ,"HUMBER, COAST AND VALE STP",10,10,3.3
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QOQ,"HUMBER, COAST AND VALE STP",15,15,41.9
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QOQ,"HUMBER, COAST AND VALE STP",485,485,142.7
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QOQ,"HUMBER, COAST AND VALE STP",335,335,112
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QOQ,"HUMBER, COAST AND VALE STP",320,320,89.7
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QOQ,"HUMBER, COAST AND VALE STP",390,390,104.3
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QOQ,"HUMBER, COAST AND VALE STP",*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QJ2,JOINED UP CARE DERBYSHIRE STP,10,10,5.4
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QJ2,JOINED UP CARE DERBYSHIRE STP,10,10,46
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QJ2,JOINED UP CARE DERBYSHIRE STP,235,235,114.5
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QJ2,JOINED UP CARE DERBYSHIRE STP,195,195,102.6
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QJ2,JOINED UP CARE DERBYSHIRE STP,165,165,77.4
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QJ2,JOINED UP CARE DERBYSHIRE STP,135,135,64.2
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QJ2,JOINED UP CARE DERBYSHIRE STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QKS,KENT AND MEDWAY STP,10,10,2.7
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QKS,KENT AND MEDWAY STP,10,10,23.7
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QKS,KENT AND MEDWAY STP,390,390,105
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QKS,KENT AND MEDWAY STP,310,310,88.3
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QKS,KENT AND MEDWAY STP,240,240,65.8
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QKS,KENT AND MEDWAY STP,175,175,48
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QKS,KENT AND MEDWAY STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,15,15,4.7
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,30,30,81.3
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,555,555,161.1
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,435,435,144
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,340,340,98.5
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,245,245,69.7
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",10,10,4.8
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",10,10,41.3
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",270,270,103.7
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",180,180,88.9
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",175,175,85.1
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",220,220,111
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QJM,LINCOLNSHIRE STP,*,*,NULL
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QJM,LINCOLNSHIRE STP,10,10,66.2
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QJM,LINCOLNSHIRE STP,175,175,121.1
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QJM,LINCOLNSHIRE STP,110,110,84
2021/22,All detentions,All,Age,50 to 64,All submissions,MHSDS,All prov,All providers,10307,10307,95.1
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QJM,LINCOLNSHIRE STP,100,100,62.7
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QJM,LINCOLNSHIRE STP,75,75,41.7
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QJM,LINCOLNSHIRE STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QH8,MID AND SOUTH ESSEX STP,5,5,2.1
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QH8,MID AND SOUTH ESSEX STP,15,15,57.1
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QH8,MID AND SOUTH ESSEX STP,235,235,102
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QH8,MID AND SOUTH ESSEX STP,170,170,71.8
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QH8,MID AND SOUTH ESSEX STP,150,150,64
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QH8,MID AND SOUTH ESSEX STP,185,185,79.5
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QH8,MID AND SOUTH ESSEX STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),*,*,NULL
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),5,5,24.9
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),215,215,111
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),180,180,103
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),155,155,74.1
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),195,195,76.2
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),10,10,3.3
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),10,10,30.9
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),840,840,201
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),685,685,205
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QMJ,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),515,515,212.6
